abbreviation/__text,type/_rdf:resource,label/_xml:lang,label/__text,_rdf:about,description/_rdf:datatype,description/__text
A.M.T.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,A.M.T. Master of Arts in Teaching,http://vivoweb.org/ontology/degree/academicDegree3,,
D.Sc.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.Sc. Doctor of Science,http://vivoweb.org/ontology/degree/academicDegree54,,
Pharm.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Pharm.D. Doctor of Pharmacy,http://vivoweb.org/ontology/degree/academicDegree96,,
M.M.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.M.E. Master of Mechanical Engineering,http://vivoweb.org/ontology/degree/academicDegree86,,
B.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.M. Bachelor of Medicine,http://vivoweb.org/ontology/degree/academicDegree27,,
M.B.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.B.A. Master of Business Administration,http://vivoweb.org/ontology/degree/academicDegree73,,
M.B.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.B.E. Master of Business Engineering,http://vivoweb.org/ontology/degree/academicDegree141,,
M.M.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.M.S. Master of Management Studies,http://vivoweb.org/ontology/degree/academicDegree126,,
D.C.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.C. Doctor of Chiropractic,http://vivoweb.org/ontology/degree/academicDegree40,,
M.M.Sc.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.M.Sc. Master of Medical Science,http://vivoweb.org/ontology/degree/academicDegree150,,
D.M.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.M.S. Doctor of Medical Science,http://vivoweb.org/ontology/degree/academicDegree48,,
D.M.Sc.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.M.Sc. Doctor of Medical Science,http://vivoweb.org/ontology/degree/academicDegree125,,
B.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.S. Bachelor of Science,http://vivoweb.org/ontology/degree/academicDegree33,,
Sc.B.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Sc.B. Bachelor of Science,http://vivoweb.org/ontology/degree/academicDegree121,,
LL.B.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,LL.B. Bachelor of Laws,http://vivoweb.org/ontology/degree/academicDegree68,,
M.P.H.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.P.H. Master of Public Health,http://vivoweb.org/ontology/degree/academicDegree113,http://www.w3.org/2001/XMLSchema#string,"<p>Professional public health degree. (contrast with M.S.P.H.)</p>
<p>See the Wikipedia entry at: http://en.wikipedia.org/wiki/Professional_degrees_of_public_health</p>"
S.J.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,S.J.D. Doctor of Juridical Science,http://vivoweb.org/ontology/degree/academicDegree101,,
B.B.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.B.A. Bachelor of Business Administration,http://vivoweb.org/ontology/degree/academicDegree13,,
D.S.W.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.S.W. Doctor of Social Work,http://vivoweb.org/ontology/degree/academicDegree53,,
AeEng.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,AeEng. Aeronautical Engineer,http://vivoweb.org/ontology/degree/academicDegree2,,
O.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,O.D. Doctor of Optometry,http://vivoweb.org/ontology/degree/academicDegree95,,
E.Met.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,E.Met. Engineer of Metallurgy,http://vivoweb.org/ontology/degree/academicDegree60,,
M.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.M. Master of Music,http://vivoweb.org/ontology/degree/academicDegree85,,
M.C.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.C.E. Master of Christian Education,http://vivoweb.org/ontology/degree/academicDegree74,,
B.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.M. Bachelor of Music,http://vivoweb.org/ontology/degree/academicDegree28,,
D.O.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.O. Doctor of Osteopathic Medicine,http://vivoweb.org/ontology/degree/academicDegree47,,
B.E.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.E.E. Bachelor of Electrical Engineering,http://vivoweb.org/ontology/degree/academicDegree20,,
B.S.Ed.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.S.Ed. Bachelor of Science in Education,http://vivoweb.org/ontology/degree/academicDegree34,,
M.S.P.H.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.S.P.H. Master of Science in Public Health,http://vivoweb.org/ontology/degree/academicDegree114,http://www.w3.org/2001/XMLSchema#string,"<p>Academic public health degree. (contrast with M.P.H.).&nbsp; The M.S.P.H. is more research-oriented than the M.P.H.</p>
<p>See the Wikipedia entry at:  http://en.wikipedia.org/wiki/Professional_degrees_of_public_health</p>"
Litt.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Litt.M. Master of Letters,http://vivoweb.org/ontology/degree/academicDegree67,,
B.C.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.C.E. Bachelor of Civil Engineering,http://vivoweb.org/ontology/degree/academicDegree14,,
S.J.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,S.J.D. Doctor of the Science of Law,http://vivoweb.org/ontology/degree/academicDegree102,,
I.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,I.E. Industrial Engineer,http://vivoweb.org/ontology/degree/academicDegree61,,
Ph.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Ph.D. Doctor of Philosophy,http://vivoweb.org/ontology/degree/academicDegree98,,
D.B.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.B.A. Doctor of Business Administration,http://vivoweb.org/ontology/degree/academicDegree39,,
D.S.W.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.S.W. Doctor of Social Welfare,http://vivoweb.org/ontology/degree/academicDegree52,,
B.A.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.A.E. Bachelor of Arts in Education,http://vivoweb.org/ontology/degree/academicDegree5,,
B.M.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.M.S. Bachelor of Marine Science,http://vivoweb.org/ontology/degree/academicDegree29,,
D.D.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.D.S. Doctor of Dental Surgery,http://vivoweb.org/ontology/degree/academicDegree42,,
M.R.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.R.E. Master of Religious Education,http://vivoweb.org/ontology/degree/academicDegree90,,
M.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.A. Master of Arts,http://vivoweb.org/ontology/degree/academicDegree71,,
M.H.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.H.S. Master of Health Science,http://vivoweb.org/ontology/degree/academicDegree122,,
M.L.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.L.S. Master of Library Science,http://vivoweb.org/ontology/degree/academicDegree84,,
B.F.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.F. Bachelor of Forestry,http://vivoweb.org/ontology/degree/academicDegree21,,
B.A.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.A.M. Bachelor of Applied Mathematics,http://vivoweb.org/ontology/degree/academicDegree11,,
S.Sc.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,S.Sc.D. Doctor of Social Science,http://vivoweb.org/ontology/degree/academicDegree103,,
B.Pharm.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.Pharm. Bachelor of Pharmacy,http://vivoweb.org/ontology/degree/academicDegree31,,
Pharm.B.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Pharm.B. Bachelor of Pharmacy,http://vivoweb.org/ontology/degree/academicDegree142,,
Pharm.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Pharm.M. Master of Pharmacy,http://vivoweb.org/ontology/degree/academicDegree143,,
M.L.I.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.L.I.S. Master of Library and Information Science,http://vivoweb.org/ontology/degree/academicDegree115,,
Ph.B.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Ph.B. Bachelor of Philosophy,http://vivoweb.org/ontology/degree/academicDegree97,,
I.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,I.E. Industrial Engineering,http://vivoweb.org/ontology/degree/academicDegree62,,
D.R.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.R.E. Doctor of Religious Education,http://vivoweb.org/ontology/degree/academicDegree51,,
B.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.A. Bachelor of Arts,http://vivoweb.org/ontology/degree/academicDegree4,,
D.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.D. Doctor of Divinity,http://vivoweb.org/ontology/degree/academicDegree41,,
M.H.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.H.A. Master of Hospital Administration,http://vivoweb.org/ontology/degree/academicDegree83,,
M.Aero.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.Aero.E. Master of Aeronautical Engineering,http://vivoweb.org/ontology/degree/academicDegree72,,
M.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.E. Master of Engineering,http://vivoweb.org/ontology/degree/academicDegree79,,
M.S.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.S.E. Master of Science in Engineering,http://vivoweb.org/ontology/degree/academicDegree134,,
