type,uri,labels,definitions,editor_notes,examples,statuses,human_friendly_names,name_of_editors,alternative_names,citations
A,http://purl.org/dc/elements/1.1/creator,,,,,,,,,
A,http://purl.org/dc/elements/1.1/date,,,,,,,,,
C,http://purl.obolibrary.org/obo/CREDIT_00000001,conceptualization role,Ideas; formulation or evolution of overarching research goals and aims.,,,,,,,http://dictionary.casrai.org/Contributor_Roles/Conceptualization
C,http://purl.obolibrary.org/obo/CREDIT_00000002,data curation role,"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.",,,,,,curation role,http://dictionary.casrai.org/Contributor_Roles/Data_curation
C,http://purl.obolibrary.org/obo/CREDIT_00000003,formal analysis role,"Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.",,,,,,formal data analysis role|data analysis role,http://dictionary.casrai.org/Contributor_Roles/Formal_analysis
C,http://purl.obolibrary.org/obo/CREDIT_00000004,funding acquisition role,,,,,,,,http://dictionary.casrai.org/Contributor_Roles/Funding_acquisition
C,http://purl.obolibrary.org/obo/CREDIT_00000005,investigation role,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.",,,,,,study investigation role|experimentation role,http://dictionary.casrai.org/Contributor_Roles/Investigation
C,http://purl.obolibrary.org/obo/CREDIT_00000006,methodology role,Development or design of methodology; creation of models.,,,,,,methodology development role,http://dictionary.casrai.org/Contributor_Roles/Methodology
C,http://purl.obolibrary.org/obo/CREDIT_00000007,project administration role,Management and coordination responsibility for the research activity planning and execution.,,,,,,project management role|project administrator role,http://dictionary.casrai.org/Contributor_Roles/Project_administration
C,http://purl.obolibrary.org/obo/CREDIT_00000008,resources role,"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.",,,,,,resource provider role,http://dictionary.casrai.org/Contributor_Roles/Resources
C,http://purl.obolibrary.org/obo/CREDIT_00000009,software role,"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.",,,,,,software developer role,http://dictionary.casrai.org/Contributor_Roles/Software
C,http://purl.obolibrary.org/obo/CREDIT_00000010,supervision role,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.",,,,,,,http://dictionary.casrai.org/Contributor_Roles/Supervision
C,http://purl.obolibrary.org/obo/CREDIT_00000011,validation role,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.",,,,,,,http://dictionary.casrai.org/Contributor_Roles/Validation
C,http://purl.obolibrary.org/obo/CREDIT_00000012,visualization role,"Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.",,,,,,data visualization role,
C,http://purl.obolibrary.org/obo/CREDIT_00000013,writing original draft role,"Preparation, creation and/or presentation of the published work, specifically writing the initial draft.",,,,,,,http://dictionary.casrai.org/Contributor_Roles/Writing_%E2%80%93_original_draft
C,http://purl.obolibrary.org/obo/CREDIT_00000014,writing review and editing role,"Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision – including pre- or post-publication stages.",,,,,,review and editing|editing and proofreading role,http://dictionary.casrai.org/Contributor_Roles/Writing_%E2%80%93_review_%26_editing
C,http://purl.obolibrary.org/obo/CRO_00000000,contributor role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000001,author role,Contributions to the published research object.,,,,,,writer role,
