Row	Type	Prefix	Name	Label	Domain	Dispostion	Yes/No	Parent	DispComment	Definitions	Editor Note	Example	Status	Human Friendly Name	Name of editor	Alternative Name	Citation
122	C	obo:	ARG_2000376	Contact Qualifier	VIVO	R	yes	A	We will need contact qualifiers (eg business address)								
427	C	vivo:	ReviewerRole	Reviewer Role	CREDIT	R	yes	D		"A role that encompasses both ongoing reviewer responsibility for a bibo:Collection, such as a Journal or Series, and also a review performed for a bibo:Document, such as a book, academic article or conference paper."		"A role that encompasses both ongoing reviewer responsibility for a bibo:Collection, such as a Journal or Series, and also a review performed for a bibo:Document, such as a book, academic article or conference paper."					
346	C	vivo:	Database	Database	IAO	R	yes	D	Find in IAO	A structured file of information or a set of logically related data stored and retrieved using computer-based means		Short Definition is the Medical Subject Heading (MeSH) definition|PubMed					
390	C	vivo:	License	License	IAO	R	yes	D		Official or legal permission to do something		Licenses are usually issued in order to regulate some activity that is deemed to be dangerous or a threat to the person or the public or which involves a high level of specialized skill.  See also core:Licensure.					
391	C	vivo:	Licensure	Licensure	IAO	R	yes	D	Licence Process	"A granted license, which gives a 'permission to practice.'"		"A granted license, which gives a 'permission to practice.' Such licenses are usually issued in order to regulate some activity that is deemed to be dangerous or a threat to the person or the public or which involves a high level of specialized skill.  See also core:License."					
323	C	vivo:	CaseStudy	Case Study	OBI	R	yes	D	Find in OBI	A qualitative descriptive research study of individuals or a group		"A form of qualitative descriptive research that is used to study individuals, a small group of participants, or a group as a whole. Medical usage (from MeSH): clinical presentations that may be followed by evaluative studies that eventually lead to a diagnosis. "					
382	C	vivo:	InvestigatorRole	Investigator Role	OBI	R	yes	D	Find in OBI	"A role in an Agreement (for example, a grant) as a named investigator or key personnel."							
425	C	vivo:	ResearchProposal	Research Proposal	OBI	R	yes	D		A proposal for a research grant that has been submitted but not approved; does not represent an existing activity							
274	C	vcard:	Organization	Organization	ORG	R	yes	D	 								http://en.wikipedia.org/wiki/Technique
153	C	obo:	ERO_0000071	Software	SWO	R	yes	D	In the SWO domain	A general term primarily used for digitally stored data such as computer programs and other kinds of information read and written by computers.		Microsoft Word is commonly used word processing software.	http://purl.obolibrary.org/obo/IAO_0000120	software	PERSON: Melissa Haendel		
294	C	vcard:	TimeZone	Time Zone	TIME	R	yes	D	VIVO will have a way to represent time								PERSON: Nicole Vasilevsky
