RDF Type,Class type,Parent IRI,ID,Label,See Also,Editors Note
TYPE,CLASS_TYPE,CI,ID,A rds:label,AI rdfs:seeAlso,A IAO:0000116
owl:DatatypeProperty,,,VO:00587,abbreviation,http://vivoweb.org/ontology/core#abbreviation,
owl:Class,subclass,BFO:0000130,VO:00216,Abstract,http://vivoweb.org/ontology/core#Abstract,
owl:Class,subclass,BFO:0000071,VO:00157,Academic Article,http://purl.org/ontology/bibo/AcademicArticle,
owl:Class,subclass,BFO:0000131,VO:00217,Academic Degree,http://vivoweb.org/ontology/core#AcademicDegree,
owl:Class,subclass,BFO:0000132,VO:00218,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment,
owl:Class,subclass,BFO:0000133,VO:00219,Academic Term,http://vivoweb.org/ontology/core#AcademicTerm,
owl:Class,subclass,BFO:0000134,VO:00220,Academic Year,http://vivoweb.org/ontology/core#AcademicYear,
owl:Class,subclass,BFO:0000277,VO:00373,Address,http://www.w3.org/2006/vcard/ns#Address,
owl:ObjectProperty,,,VO:00730,adjacent to,http://purl.obolibrary.org/obo/RO_0002220,
owl:Class,subclass,BFO:0000135,VO:00221,Administrator Role,http://vivoweb.org/ontology/core#AdministratorRole,
owl:Class,subclass,BFO:0000136,VO:00222,Advisee Role,http://vivoweb.org/ontology/core#AdviseeRole,
owl:Class,subclass,BFO:0000137,VO:00223,Advising Process,http://vivoweb.org/ontology/core#AdvisingProcess,
owl:Class,subclass,BFO:0000139,VO:00225,Advisor Role,http://vivoweb.org/ontology/core#AdvisorRole,
owl:ObjectProperty,,,VO:00739,affirmed by,http://purl.org/ontology/bibo/affirmedBy,
owl:Class,subclass,BFO:0000283,VO:00449,Agent,http://xmlns.com/foaf/0.1/Agent,
owl:AnnotationProperty,,,VO:00013,alternative name for term,http://purl.obolibrary.org/obo/IAO_0000118,
owl:DatatypeProperty,,,VO:00556,Amazon Standard Identification Number (ASIN),http://purl.org/ontology/bibo/asin,
owl:Class,subclass,BFO:0000072,VO:00158,Article,http://purl.org/ontology/bibo/Article,
owl:Class,subclass,BFO:0000140,VO:00226,Association,http://vivoweb.org/ontology/core#Association,
owl:Class,subclass,BFO:0000141,VO:00227,Attendee Role,http://vivoweb.org/ontology/core#AttendeeRole,
owl:Class,subclass,BFO:0000142,VO:00228,Attending Process,http://vivoweb.org/ontology/core#AttendingProcess,
owl:Class,subclass,BFO:0000073,VO:00159,Audio Document,http://purl.org/ontology/bibo/AudioDocument,
owl:Class,subclass,BFO:0000143,VO:00229,Authorship,http://vivoweb.org/ontology/core#Authorship,
owl:Class,subclass,BFO:0000144,VO:00230,Award or Honor,http://vivoweb.org/ontology/core#Award,
owl:Class,subclass,BFO:0000146,VO:00232,Awarded Degree,http://vivoweb.org/ontology/core#AwardedDegree,
owl:ObjectProperty,,,VO:00722,bearer of,http://purl.obolibrary.org/obo/RO_0000053,
owl:Class,subclass,BFO:0000125,VO:00211,Bibliographic Information Source,http://purl.org/spar/c4o/BibliographicInformationSource,
owl:Class,subclass,BFO:0000075,VO:00161,Bill,http://purl.org/ontology/bibo/Bill,
owl:Class,subclass,BFO:0000147,VO:00233,Blog,http://vivoweb.org/ontology/core#Blog,
owl:Class,subclass,BFO:0000148,VO:00234,Blog Posting,http://vivoweb.org/ontology/core#BlogPosting,
owl:Class,subclass,BFO:0000076,VO:00162,Book,http://purl.org/ontology/bibo/Book,
