?parent_label	?label
"DNA sequencer"@en	"next generation sequencer"
"MRI Scanner"@en	"3T MRI scanner"
"MRI Scanner"@en	"dual MRI-PET scanner"
"MRI Scanner"@en	"functional MRI scanner"
"MRI Scanner"@en	"preclinical MRI scanner"
"NMR instrument"@en	"continuous wave NMR instrument"@en
"NMR instrument"@en	"fourier transformation NMR instrument"@en
"NMR probe"@en	"direct detection NMR probe"@en
"NMR probe"@en	"flow probe"@en
"NMR probe"@en	"high resolution magic angle spin probe"@en
"NMR probe"@en	"high resolution probe with automatic tuning and matching"@en
"NMR probe"@en	"imaging NMR probe"@en
"NMR probe"@en	"indirect detection probe"@en
"NMR probe"@en	"liquid NMR probe"@en
"NMR probe"@en	"solid NMR probe"@en
"SPECT scanner"	"SPECT animal imager"
"X-ray source"	"bone densitometer"@en
"X-ray source"	"portable X-ray machine"
"amplifier"	"microelectrode amplifier"
"animal cage"@en	"operant conditioning chamber"
"animal physiology monitoring system"	"CLAMS system"
"animal physiology monitoring system"	"animal activity monitoring system"
"array scanner"@en	"gene chip scanner "
"arrayer"@en	"tissue microarrayer"
"autosampler"@en	"flow injection system"
"autosampler"@en	"microplate autosampler"
"balance"	"analytical balance"
"balance"	"mechanical balance"
"balance"	"microbalance"
"balance"	"top loading balance"
"bioreactor"	"fermentor"
"blood analyzer"	"blood gas analyzer"
"blood analyzer"	"blood lipid analyzer"
"body composition analyzer"	"body fat meter"@en
"calorimeter"	"differential scanning calorimeter"
"cell separator"	"automated magnetic cell separator"
"centrifuge"@en	"clinical centrifuge"
"centrifuge"@en	"cytospin centrifuge"
"centrifuge"@en	"hematocrit centrifuge"
"centrifuge"@en	"microcentrifuge"
"centrifuge"@en	"refrigerated centrifuge"
"centrifuge"@en	"tabletop centrifuge"
"centrifuge"@en	"ultracentrifuge"
"centrifuge"@en	"vacuum centrifuge concentrator"
"chemical vapor deposition system"	"chemical vapor deposition furnace"
"chemistry analyzer"	"total organic carbon analyzer"
"chromatography device"@en	"chart recorder"@en
"chromatography device"@en	"chromatography consumable"@en
"chromatography device"@en	"chromatography splitter"@en
"chromatography device"@en	"column adapter"@en
"chromatography device"@en	"column cartridge"@en
"chromatography device"@en	"column compartment"@en
"chromatography device"@en	"column connector"@en
"chromatography device"@en	"column frit"@en
"chromatography device"@en	"column jacket"@en
"chromatography device"@en	"gas chromatography equipment"@en
"chromatography device"@en	"guard column"@en
"chromatography device"@en	"ion chromatograph"
"chromatography device"@en	"liquid chromatography instrument"
"chromatography device"@en	"liquid chromatography valve"@en
"chromatography device"@en	"needle assembly"@en
