?type	?uri	?labels	?definitions	?editor_notes	?examples	?statuses	?human_friendly_names	?name_of_editors	?alternative_names	?citations
"A"	<http://protege.stanford.edu/plugins/owl/protege#defaultLanguage>									
"A"	<http://purl.obolibrary.org/obo/BFO_0000179>	"BFO OWL specification label"	"Relates an entity in the ontology to the name of the variable that is used to represent it in the code that generates the BFO OWL file from the lispy specification."							
"A"	<http://purl.obolibrary.org/obo/BFO_0000180>	"BFO CLIF specification label"	"Relates an entity in the ontology to the term that is used to represent it in the the CLIF specification of BFO2"							"Person:Alan Ruttenberg"
"A"	<http://purl.obolibrary.org/obo/IAO_0000111>	"editor preferred term"	"The concise, meaningful, and human-friendly name for a class or property preferred by the ontology developers. (US-English)"			"http://purl.obolibrary.org/obo/IAO_0000122"	"editor preferred term"	"PERSON:Daniel Schober"		"GROUP:OBI:<http://purl.obolibrary.org/obo/obi>"
"A"	<http://purl.obolibrary.org/obo/IAO_0000112>	"example of usage"	"A phrase describing how a term should be used and/or a citation to a work which uses it. May also include other kinds of examples that facilitate immediate understanding, such as widely know prototypes or instances of a class, or cases where a relation is said to hold."			"http://purl.obolibrary.org/obo/IAO_0000122"	"example"	"PERSON:Daniel Schober"		"GROUP:OBI:<http://purl.obolibrary.org/obo/obi>"
"A"	<http://purl.obolibrary.org/obo/IAO_0000113>	"in branch"	"An annotation property indicating which module the terms belong to. This is currently experimental and not implemented yet."				"in branch"	"GROUP:OBI"		"OBI_0000277"
"A"	<http://purl.obolibrary.org/obo/IAO_0000114>	"has curation status"					"has curation status"	"PERSON:Alan Ruttenberg|PERSON:Melanie Courtot|PERSON:Bill Bug"		"OBI_0000281"
"A"	<http://purl.obolibrary.org/obo/IAO_0000115>	"definition|definition"	"The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions."	"2012-04-05: \nBarry Smith\n\nThe official OBI definition, explaining the meaning of a class or property: 'Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions'  is terrible.\n\nCan you fix to something like:\n\nA statement of necessary and sufficient conditions explaining the meaning of an expression referring to a class or property.\n\nAlan Ruttenberg\n\nYour proposed definition is a reasonable candidate, except that it is very common that necessary and sufficient conditions are not given. Mostly they are necessary, occasionally they are necessary and sufficient or just sufficient. Often they use terms that are not themselves defined and so they effectively can't be evaluated by those criteria. \n\nOn the specifics of the proposed definition:\n\nWe don't have definitions of 'meaning' or 'expression' or 'property'. For 'reference' in the intended sense I think we use the term 'denotation'. For 'expression', I think we you mean symbol, or identifier. For 'meaning' it differs for class and property. For class we want documentation that let's the intended reader determine whether an entity is instance of the class, or not. For property we want documentation that let's the intended reader determine, given a pair of potential relata, whether the assertion that the relation holds is true. The 'intended reader' part suggests that we also specify who, we expect, would be able to understand the definition, and also generalizes over human and computer reader to include textual and logical definition. \n\nPersonally, I am more comfortable weakening definition to documentation, with instructions as to what is desirable. \n\nWe also have the outstanding issue of how to aim different definitions to different audiences. A clinical audience reading chebi wants a different sort of definition documentation/definition from a chemistry trained audience, and similarly there is a need for a definition that is adequate for an ontologist to work with.  "		"http://purl.obolibrary.org/obo/IAO_0000122"	"definition"	"PERSON:Daniel Schober"		"GROUP:OBI:<http://purl.obolibrary.org/obo/obi>"
"A"	<http://purl.obolibrary.org/obo/IAO_0000116>	"editor note"	"An administrative note intended for its editor. It may not be included in the publication version of the ontology, so it should contain nothing necessary for end users to understand the ontology."			"http://purl.obolibrary.org/obo/IAO_0000122"	"editor note"	"PERSON:Daniel Schober"		"GROUP:OBI:<http://purl.obfoundry.org/obo/obi>"
"A"	<http://purl.obolibrary.org/obo/IAO_0000117>	"term editor"	"Name of editor entering the term in the file. The term editor is a point of contact for information regarding the term. The term editor may be, but is not always, the author of the definition, which may have been worked upon by several people"	"20110707, MC: label update to term editor and definition modified accordingly. See https://github.com/information-artifact-ontology/IAO/issues/115."		"http://purl.obolibrary.org/obo/IAO_0000122"	"term editor"	"PERSON:Daniel Schober"		"GROUP:OBI:<http://purl.obolibrary.org/obo/obi>"
