Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	IAO:0000603	IAO:0000115	Add as annotation triples in the granting ontology@en	
ERROR	duplicate_definition	IAO:0100001	IAO:0000115	Add as annotation triples in the granting ontology@en	
ERROR	duplicate_definition	OBI:0000299	IAO:0000115	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en	
ERROR	duplicate_definition	OBI:0000312	IAO:0000115	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en	
ERROR	missing_label	http://example.com/bfo-spec-label	rdfs:label		
ERROR	missing_label	BFO:0000134	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/iao/d-acts.owl	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/iao/pno.owl	rdfs:label		
ERROR	missing_label	oboInOwl:DbXref	rdfs:label		
ERROR	missing_label	oboInOwl:Definition	rdfs:label		
ERROR	missing_label	oboInOwl:Subset	rdfs:label		
ERROR	missing_label	oboInOwl:Synonym	rdfs:label		
ERROR	missing_label	oboInOwl:SynonymType	rdfs:label		
ERROR	deprecated_class_reference	IAO:0000135	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	IAO:0000220	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	IAO:0000222	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	IAO:0000223	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	IAO:0000230	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	iao.owl	dc11:description		
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en	
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en	
ERROR	multiple_definitions	BFO:0000015	IAO:0000115	An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.@en	
ERROR	multiple_definitions	BFO:0000015	IAO:0000115	p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en	
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en	
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en	
ERROR	multiple_definitions	BFO:0000031	IAO:0000115	A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.@en	
