Role	Source	Include	Comment
Abridger	MARC	Y	
Actor	MARC	Y	
Adapter	MARC	Y	
Addressee	MARC	N	Not needed
Administrator	VIVO	Y	Renamed
Advisee	VIVO	Y	Renamed
Advisor	VIVO	Y	Renamed
Analyst	MARC	Y	
Animator	MARC	Y	
Annotator	MARC	Y	
Appellant	MARC	L	
Appellee	MARC	L	
Applicant	MARC	Y	
Architect	MARC	Y	
Archivist	Duke	Y	
Arranger	MARC	Y	Not sure what this means
Art copyist	MARC	Y	
Art director	MARC	Y	
Artist	MARC	Y	
Artistic director	MARC	Y	
Assignee	MARC	Y	
Associated name	MARC	N	Not a role
Attendee	VIVO	Y	Renamed
Attributed name	MARC	N	Not a role
Auctioneer	MARC	Y	Not outside domain for agriculturalists
Author	MARC	Y	
Author in quotations or text abstracts	MARC	N	Not a role
"Author of afterword, colophon, etc."	MARC	N	Author of etc
Author of dialog	MARC	N	Author of etc
"Author of introduction, etc."	MARC	N	Author of etc
Autographer	MARC	M	"What is this, one who autographs?"
Background and literature search 	CRO	M	Two different things here.
Bibliographic antecedent	MARC	Y	
Binder	MARC	Y	
Binding designer	MARC	Y	
Blurb writer	MARC	N	Author of blurb
Book designer	MARC	Y	
Book producer	MARC	Y	
Bookjacket designer	MARC	Y	
Bookplate designer	MARC	Y	
Bookseller	MARC	M	Why?
Braille embosser	MARC	Y	
Broadcaster	MARC	Y	
Calligrapher	MARC	Y	
Cartographer	MARC	Y	
Caster	MARC	Y	
Censor	MARC	Y	
Choreographer	MARC	Y	
Cinematographer	MARC	Y	
Client	MARC	M	Why?
Clinical Role	VIVO	N	Should be more specific
Code review 	CRO	M	
Collection registrar	MARC	Y	
Collector	MARC	Y	
Collotyper	MARC	Y	
Colorist	MARC	Y	
Commentator	MARC	Y	
Commentator for written text	MARC	N	Commentor of text
Communication 	CRO	M	Not clear
Community engagement 	CRO	M	Not clear
Compiler	MARC	Y	
Complainant	MARC	L	
Complainant-appellant	MARC	L	
Complainant-appellee	MARC	L	
Composer	MARC	Y	
Compositor	MARC	Y	
Conceptor	MARC	Y	
Conceptualization 	CRO	Y	
Conductor	MARC	Y	
Conservator	MARC	Y	
Consultant	MARC	Y	
Consultant to a project	MARC	N	Consultant of project
Contact	Proposed	Y	A person has a role as a contact for a process or other occurrent
Contestant	MARC	L	
Contestant-appellant	MARC	L	
Contestant-appellee	MARC	L	
Contestee	MARC	L	
Contestee-appellant	MARC	L	
Contestee-appellee	MARC	L	
Contractor	MARC	Y	
Contributor	MARC	Y	
Coordinator	Proposed	Y	
Copyright claimant	MARC	Y	
Copyright holder	MARC	Y	
Corrector	MARC	Y	
Correspondent	MARC	Y	
Costume designer	MARC	Y	
Court governed	MARC	N	Not a role
Court reporter	MARC	Y	
Cover designer	MARC	Y	
Creator	MARC	Y	
Curator	MARC	Y	
Dancer	MARC	Y	
Data	CRO	N	Unclear
data aggregation 	CRO	Y	
data collection 	CRO	Y	
Data contributor	MARC	Y	
data curation 	CRO	Y	
data entry 	CRO	Y	
data integration 	CRO	Y	
Data manager	MARC	Y	
data modeling 	CRO	Y	
data quality assurance 	CRO	Y	
data standards developer 	CRO	Y	
data transformation 	CRO	Y	
data validation 	CRO	Y	
database administrator 	CRO	Y	
Dedicatee	MARC	Y	
Dedicator	MARC	Y	
Defendant	MARC	L	
Defendant-appellant	MARC	L	
Defendant-appellee	MARC	L	
Degree granting institution	MARC	N	A disposition of an organization
Degree supervisor	MARC	Y	
Delineator	MARC	Y	
Depicted	MARC	M	"Interesting, similar to ""is about"""
Depositor	MARC	Y	
Designer	MARC	Y	
Developer	Proposed	Y	How is this different from Creator?
Device development 	CRO	N	Deisgner of device; Builder of device
Digital preservation 	CRO	N	Preservationist?  Archivist?
Director	MARC	Y	
Dissertant	MARC	Y	
Distribution place	MARC	N	Not a role
Distributor	MARC	Y	
Documentation 	CRO	M	Documentor.  Why isn't this Writer or Author of Documentation
Donor	MARC	Y	
Draftsman	MARC	Y	
Dramaturg	Duke	Y	
Dubious author	MARC	M	
Editor	VIVO	Y	Renamed
Editor of compilation	MARC	N	Editor of compilation
Editor of moving image work	MARC	N	Editor of video
educational 	CRO	N	Unclear
educational instruction 	CRO	N	Instructor
educational material development 	CRO	N	Developer of educationall material
educational program development 	CRO	N	Developer of educational program
educational training 	CRO	N	Use instructor or trainer
Educator	ERO	M	How/when is this ysed.  Why not Teacher?
Electrician	MARC	Y	
Electrotyper	MARC	Y	
Employee	ERO	Y	Renamed and in VIVO ontology
Enacting jurisdiction	MARC	N	Not a role
Engineer	MARC	Y	
Engraver	MARC	Y	
equipment technician 	CRO	M	Repair?
Etcher	MARC	Y	
Evaluator	Proposed	Y	
Event place	MARC	N	Not a role
Expert	MARC	N	The LOC defintion has to do with appraisal.  Legal Expert is a possible role
Facsimilist	MARC	Y	
Field director	MARC	Y	
figure development 	CRO	M	Is this different from illustrator?
Film director	MARC	M	"Director as a role is not descriptive.  Too many different uses, not enough commonality."
Film distributor	MARC	N	Distributor of film
Film editor	MARC	M	"Editor of Film is possible.  But combining ""editing"" across domains may not be useful."
Film producer	MARC	Y	
Filmmaker	MARC	M	
First party	MARC	Y	We seem to be collecting legal terminology.  How much do we need?
Forger	MARC	M	Seems unlikely in scholarship
Formal analysis 	CRO	M	Why not Analyst?
Former owner	MARC	M	Owner of what?
