Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	skos:broader	IAO:0000115	Public description modified from the information on this page: http://www.w3.org/TR/2005/WD-swbp-skos-core-guide-20050510/#sechierarchy .	
ERROR	duplicate_definition	skos:narrower	IAO:0000115	Public description modified from the information on this page: http://www.w3.org/TR/2005/WD-swbp-skos-core-guide-20050510/#sechierarchy .	
ERROR	duplicate_definition	OBI:0000299	IAO:0000115	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en	
ERROR	duplicate_definition	OBI:0000312	IAO:0000115	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en	
ERROR	duplicate_definition	http://vivoweb.org/ontology/core#GeographicLocation	IAO:0000115	A location having coordinates in geographic space.	
ERROR	duplicate_definition	http://vivoweb.org/ontology/core#GeographicRegion	IAO:0000115	A location having coordinates in geographic space.	
ERROR	missing_label	http://aims.fao.org/aos/geopolitical.owl#HDI	rdfs:label		
ERROR	missing_label	http://vivoweb.org/ontology/core#facilityFor	rdfs:label		
ERROR	missing_label	oboInOwl:DbXref	rdfs:label		
ERROR	missing_label	oboInOwl:Definition	rdfs:label		
ERROR	missing_label	oboInOwl:Synonym	rdfs:label		
ERROR	missing_label	oboInOwl:SynonymType	rdfs:label		
ERROR	deprecated_class_reference	ERO:0000482	rdfs:domain	ERO:0000005	
ERROR	deprecated_class_reference	ERO:0000482	rdfs:range	ERO:0000071	
ERROR	deprecated_class_reference	ERO:0000482	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	http://vivoweb.org/ontology/core	dc11:description		
ERROR	duplicate_label	http://vivoweb.org/ontology/core#Video	rdfs:label	Video@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Video	rdfs:label	Video@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#URL	rdfs:label	URL@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#url	rdfs:label	URL@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Telephone	rdfs:label	Telephone@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#telephone	rdfs:label	Telephone@en	
ERROR	duplicate_label	http://vivoweb.org/ontology/core#informationResourceSupportedBy	rdfs:label	supported by@en	
ERROR	duplicate_label	http://vivoweb.org/ontology/core#supportedBy	rdfs:label	supported by@en	
ERROR	duplicate_label	http://aims.fao.org/aos/geopolitical.owl#other	rdfs:label	Other@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Other	rdfs:label	Other@en	
ERROR	duplicate_label	http://aims.fao.org/aos/geopolitical.owl#organization	rdfs:label	Organization@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Organization	rdfs:label	Organization@en	
ERROR	duplicate_label	foaf:Organization	rdfs:label	Organization@en	
ERROR	duplicate_label	http://purl.org/ontology/bibo/Note	rdfs:label	Note@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Note	rdfs:label	Note@en	
ERROR	duplicate_label	http://vivoweb.org/ontology/core#Location	rdfs:label	Location@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Location	rdfs:label	Location@en	
ERROR	duplicate_label	http://purl.org/ontology/bibo/identifier	rdfs:label	identifier@en	
ERROR	duplicate_label	http://vivoweb.org/ontology/core#identifier	rdfs:label	identifier@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#hasLanguage	rdfs:label	has language@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#language	rdfs:label	has language@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#formattedName	rdfs:label	has formatted name@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#hasFormattedName	rdfs:label	has formatted name@en	
ERROR	duplicate_label	http://aims.fao.org/aos/geopolitical.owl#group	rdfs:label	Group@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Group	rdfs:label	Group@en	
ERROR	duplicate_label	foaf:Group	rdfs:label	Group@en	
ERROR	duplicate_label	ERO:0001716	rdfs:label	Database@en	
ERROR	duplicate_label	http://vivoweb.org/ontology/core#Database	rdfs:label	Database@en	
ERROR	duplicate_label	dc:contributor	rdfs:label	contributor@en	
ERROR	duplicate_label	http://vivoweb.org/ontology/core#contributingRole	rdfs:label	contributor@en	
ERROR	duplicate_label	ARG:2000379	rdfs:label	Contact@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Contact	rdfs:label	Contact@en	
ERROR	duplicate_label	http://purl.org/ontology/bibo/Code	rdfs:label	Code@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Code	rdfs:label	Code@en	
ERROR	duplicate_label	http://www.w3.org/2006/vcard/ns#Agent	rdfs:label	Agent@en	
ERROR	duplicate_label	foaf:Agent	rdfs:label	Agent@en	
ERROR	multiple_definitions	ERO:0000012	IAO:0000115	A role inhering in a person or organization that is realized when the bearer participates in providing a service to meet the need of another person or thing.	
ERROR	multiple_definitions	ERO:0000012	IAO:0000115	An role of an individual within his or her profession or institution; use outreach provider role for community service or other activities outside the profession.	
ERROR	multiple_definitions	ERO:0000595	IAO:0000115	A planned process carried out by a person or organization with the objective of performing research.	
ERROR	multiple_definitions	ERO:0000595	IAO:0000115	An offering through an ongoing program or single request of research support: internships, positions, financial awards or other forms of tangible or intangible support	
ERROR	multiple_definitions	IAO:0000030	IAO:0000115	The most general classification of an information resource	
ERROR	multiple_definitions	IAO:0000030	IAO:0000115	an information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity@en	
ERROR	multiple_definitions	http://purl.org/ontology/bibo/Document	IAO:0000115	A bounded physical representation of a body of information designed with the capacity (and usually intent) to communicate	
ERROR	multiple_definitions	http://purl.org/ontology/bibo/Document	IAO:0000115	A collection of information content entities intended to be understood together as a whole@en	
ERROR	multiple_definitions	http://purl.org/spar/fabio/Comment	IAO:0000115	A verbal or written remark concerning some entity. In written form, a comment is often appended to that entity and termed an annotation. Within computer programs or ontologies, comments are added to enhance human understanding, and are usually prefaced by	
ERROR	multiple_definitions	http://purl.org/spar/fabio/Comment	IAO:0000115	A verbal or written remark concerning some entity. In written form, a comment is often appended to that entity and termed an annotation. Within computer programs or ontologies, comments are added to enhance human understanding, and are usually prefaced by a special syntactic symbol that ensures they are ignored during execution of the program.        has super-classes	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Association	IAO:0000115	A formal organization of people or groups of people around a subject or practice.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Association	IAO:0000115	A group of persons or organizations organized for a common purpose.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Center	IAO:0000115	A place where a particular activity or service is concentrated.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Center	IAO:0000115	An organization where a specified activity is concentrated.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#ClinicalOrganization	IAO:0000115	Any organization that offers significant health services or routinely provides medical care to patients.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#ClinicalOrganization	IAO:0000115	Any organization with a significant clinical function as a matter of course and not just through occasional clinical roles	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#College	IAO:0000115	A primary academic unit within a University or a free-standing higher education organization without graduate degree programs	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#College	IAO:0000115	A primary academic unit within a University or a free-standing higher education organization without graduate degree programs.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Committee	IAO:0000115	A group of people organized for a specific purpose (e.g., a reporting or advisory role), often with a charge and for a specific duration	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Committee	IAO:0000115	A group of people organized for a specific purpose, whose members are often selected from a larger group to serve for designated periods of time.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Company	IAO:0000115	A legally-recognized business organization	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Company	IAO:0000115	A legally-recognized business organization.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#ExtensionUnit	IAO:0000115	A unit devoted primarily to extension activities, whether for outreach or research	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#ExtensionUnit	IAO:0000115	A unit devoted primarily to extension activities, whether for outreach or research.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#FundingOrganization	IAO:0000115	A defined class of organizations that fund Grants	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#FundingOrganization	IAO:0000115	An organization that provides financial support to individuals or organizations to carry out specified activities.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Institute	IAO:0000115	An Institute normally has a research focus but may also fulfill instructional or outreach roles	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Institute	IAO:0000115	An organization founded to pursue or promote certain research, educational or public policy interests or activities.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Laboratory	IAO:0000115	An organization unit that facilitates or conduits observation, testing, experimentation, or research in a field of study or practice.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Laboratory	IAO:0000115	An organizational unit (as opposed to the physical facility) that performs research, provides services, or processes materials	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Team	IAO:0000115	A group of people working together.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/core#Team	IAO:0000115	An informal organization brought together for the purposes of a project or event	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase0ClinicalTrial	IAO:0000115	Phase 0 Clinical Trial	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase0ClinicalTrial	IAO:0000115	Phase 0 is a recent designation for exploratory, first-in-human trials  conducted in accordance with the United States Food and Drug Administration's (FDA) 2006 Guidance on Exploratory Investigational New Drug (IND) Studies.  Phase 0 trials are also known as human microdosing  studies and are designed to speed up the development of promising drugs or imaging agents by establishing very early on whether the drug or agent behaves in human subjects as was expected from preclinical studies.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase1ClinicalTrial	IAO:0000115	In Phase I trials, researchers test an experimental drug or treatment in a small group of people (20-80) for the first time to evaluate its safety, determine a safe dosage range, and identify side effects	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase1ClinicalTrial	IAO:0000115	Phase 1 Clinical Trial	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase2ClinicalTrial	IAO:0000115	In Phase 2 trials, an experimental study drug or treatment is given to a larger group of people (100-300) to see if it is effective and to further evaluate its safety.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase2ClinicalTrial	IAO:0000115	Phase 2 Clinical Trial	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase3ClinicalTrial	IAO:0000115	In Phase 3 trials, an experimental study drug or treatment is given to large groups of people (1,000-3,000) to confirm its effectiveness, monitor side effects, compare it to commonly used treatments, and collect information that will allow the experimental drug or treatment to be used safely.    	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase3ClinicalTrial	IAO:0000115	Phase 3 Clinical Trial	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase4ClinicalTrial	IAO:0000115	In Phase 4 trials, post marketing studies delineate additional information including the drug's or treatment's risks, benefits, and optimal use.	
ERROR	multiple_definitions	http://vivoweb.org/ontology/scientific-research#Phase4ClinicalTrial	IAO:0000115	Phase 4 Clinical Trial	
ERROR	multiple_definitions	foaf:Agent	IAO:0000115	Agents are things that do stuff	
ERROR	multiple_definitions	foaf:Agent	IAO:0000115	Things that do stuff.	
ERROR	multiple_definitions	foaf:Group	IAO:0000115	 A collection of individual agents (and may itself play the role of a Agent, ie. something that can perform actions). 	
ERROR	multiple_definitions	foaf:Group	IAO:0000115	A collection of individual agents.	
ERROR	multiple_definitions	foaf:Organization	IAO:0000115	A generic class encompassing several types of organizations.	
ERROR	multiple_definitions	foaf:Organization	IAO:0000115	A kind of Agent corresponding to social instititutions such as companies, societies etc.	
ERROR	multiple_definitions	foaf:Person	IAO:0000115	An instance of a human being (Homo sapiens)	
ERROR	multiple_definitions	foaf:Person	IAO:0000115	The most general classification of a person	
ERROR	missing_ontology_license	http://vivoweb.org/ontology/core	dc:license		
ERROR	missing_ontology_title	http://vivoweb.org/ontology/core	dc11:title		
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#HDI	dc:description	 composite index measuring average achievement in three basic dimensions of human development-a long and healthy life, knowledge and a decent standard of living. Source: Calculated based on data from UNDESA (2009d), Barro and Lee (2010), UNESCO Institute for Statistics (2010b), World Bank (2010b) and IMF(2010a) . http://hdrstats.undp.org/en/indicators/49806.html	
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#HDI	dc:description	 composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. Source: Calculated based on data from UNDESA (2009d), Barro and Lee (2010), UNESCO Institute for Statistics (2010b), World Bank (2010b) and IMF(2010a) . http://hdrstats.undp.org/en/indicators/49806.html	
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#agriculturalArea	dc:description	Agricultural area, this category is the sum of areas under a) arable land - land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than five years). The abandoned land resulting from shifting cultivation is not included in this category. Data for “Arable land” are not meant to indicate the amount of land that is potentially cultivable; (b) permanent crops - land cultivated with long-term crops which do not have to be replanted for several years (such as cocoa and coffee); land under trees and shrubs producing flowers, such as roses and jasmine; and nurseries (except those for forest trees, which should be classified under \"forest\"); and (c) permanent meadows and pastures - land used permanently (five years or more) to grow herbaceous forage crops, either cultivated or growing wild (wild prairie or grazing land). Data are expressed in 1000 hectares. http://faostat.fao.org/site/375/default.aspx 	
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#countryArea	dc:description	Country area, area of the country including area under inland water bodies, but excluding offshore territorial waters. Possible variations in the data may be due to updating and revisions of the country data and not necessarily to any change of area. Data are expressed in 1000 hectares. http://faostat.fao.org/site/375/default.aspx 	
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#landArea	dc:description	Land area is the total area of the country excluding area under inland water bodies. Possible variations in the data may be due to updating and revisions of the country data and not necessarily to any change of area. Data are expressed in 1 000 hectares. http://faostat.fao.org/site/375/default.aspx 	
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#validSince	rdfs:comment	The value of the datatype property *validSince* associated to a particular area (territory or group) indicates the area's  first year of validity.  The geopolitical ontology traces back historic changes only until 1985, therefore, if an area has a validSince = 1985, this indicates that the area is/was valid since 1985 or before.       	
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#validUntil	rdfs:comment	The value of the datatype property *validUntil* associated to a particular area (territory or group) indicates the area's last year of validity. In case the area is currently valid, this value is set by default to 9999.          	
WARN	annotation_whitespace	ARG:0000001	IAO:0000115	The document can be used as a template for the creation of other documents. 	
WARN	annotation_whitespace	ARG:0000015	IAO:0000115	A free text field for recording topics which relate to the resource. 	
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] 	
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] 	
WARN	annotation_whitespace	BFO:0000054	IAO:0000602	(forall (x y z t) (if (and (RealizableEntity x) (Process y) (realizesAt y x t) (bearerOfAt z x t)) (hasParticipantAt y z t))) // axiom label in BFO2 CLIF: [106-002] 	
WARN	annotation_whitespace	BFO:0000055	IAO:0000602	(forall (x y t) (if (realizesAt x y t) (and (Process x) (or (Disposition y) (Role y)) (exists (z) (and (MaterialEntity z) (hasParticipantAt x z t) (bearerOfAt z y t)))))) // axiom label in BFO2 CLIF: [059-003] 	
WARN	annotation_whitespace	ERO:0000033	IAO:0000115	Technique in which the person is proficient. 	
WARN	annotation_whitespace	ERO:0000046	IAO:0000115	Any service limitation tied to geographically-defined areas such as metro areas, counties, states, or regions. 	
WARN	annotation_whitespace	ERO:0000393	IAO:0000115	A service offering that describes a service in which the provider offers educational materials or events, such as courses, workshops or graduate programs, to the service consumer 	
WARN	annotation_whitespace	ERO:0000776	IAO:0000115	A role that inheres in a person who maintains residency in the United states. 	
WARN	annotation_whitespace	ERO:0000780	IAO:0000115	A non-US citizen role that inheres in an individual who is residing in a country, but is neither a citizen nor a permanent resident. 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/BookSection	IAO:0000112	Short Definition from the bibo ontology 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/DocumentPart	IAO:0000112	Short Definition from the bibo ontology 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/Magazine	IAO:0000112	Abstracts and bibliographies are usually not included in magazines. 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/Webpage	IAO:0000115	One section of a website that appears at a unique address within the parent site's address or URL on the World Wide Web 	
