?parent_label	?label
"ASCII format"	".raw files"
"ASCII format"	"CDF ASCII format"@en
"ASCII format"	"CEL ASCII format"@en
"ASCII format"	"Data File Standard for Flow Cytometry"@en
"ASTD ID"	"ASTD ID (exon)"
"ASTD ID"	"ASTD ID (intron)"
"ASTD ID"	"ASTD ID (polya)"
"ASTD ID"	"ASTD ID (tss)"
"Accession"	"Amino acid index ID"
"Accession"	"Article ID"
"Accession"	"BioCyc ID"
"Accession"	"BioNumbers ID"
"Accession"	"Biological model accession"
"Accession"	"Blot ID"
"Accession"	"Book ID"
"Accession"	"CABRI accession"
"Accession"	"Cell type accession"
"Accession"	"ConsensusPathDB entity ID"
"Accession"	"Data resource definition accession"
"Accession"	"Disease identifier"
"Accession"	"Drug accession"
"Accession"	"Electron microscopy model ID"
"Accession"	"Ensembl ID"
"Accession"	"FlyBase ID"
"Accession"	"Gene expression report ID"
"Accession"	"Genome accession"
"Accession"	"Genotype and phenotype annotation ID"
"Accession"	"Genotype experiment ID"
"Accession"	"KEGG object identifier"
"Accession"	"Locus ID"
"Accession"	"MGI accession"
"Accession"	"Map accession"
"Accession"	"Mobile genetic element ID"
"Accession"	"Molecule accession"
"Accession"	"Monosaccharide accession"
"Accession"	"Mutation ID"
"Accession"	"NCBI genetic code ID"
"Accession"	"Ontology concept ID"
"Accession"	"Organism accession"
"Accession"	"Pathway or network accession"
"Accession"	"PharmGKB ID"
"Accession"	"Phylogenetic tree ID"
"Accession"	"Promoter ID"
"Accession"	"Protein domain ID"
"Accession"	"Protein family accession"
"Accession"	"Protein interaction ID"
"Accession"	"Protein modification ID"
"Accession"	"PubChem ID"
"Accession"	"RFAM accession"
"Accession"	"RGD ID"
"Accession"	"Reaction ID"
"Accession"	"SGD ID"
"Accession"	"Sample ID"
"Accession"	"Sequence accession"
"Accession"	"Sequence alignment ID"
"Accession"	"Sequence feature ID"
"Accession"	"Sequence profile ID"
"Accession"	"Sequence set ID"
"Accession"	"Sequence variation ID"
"Accession"	"Spot ID"
"Accession"	"Stock number"
"Accession"	"Structural (3D) profile ID"
"Accession"	"Structure ID"
"Accession"	"Structure alignment ID"
"Accession"	"TAIR accession"
"Accession"	"Toxin accession"
"Accession"	"Workflow ID"
"Affymetrix GeneChip Operating Software"	"Affymetrix GCOS v1.2"
"Affymetrix GeneChip Operating Software"	"Feature Extraction Software"
"Affymetrix Software"	"TAS Software"
"Agilent Feature Extraction Software"	"Agilent Feature Extraction 5.1.1"
"Agilent Feature Extraction Software"	"Agilent Feature Extraction software version 7.1"
"Agilent Feature Extraction Software"	"Agilent Feature Extraction software version 7.5"
"Agilent Feature Extraction Software"	"Agilent Feature Extraction software version A.5.1.1"
"Agilent Technologies Software"	"Agilent Feature Extraction Software"
"Agilent Technologies Software"	"Agilent Scan Control"
"Agilent Technologies Software"	"Expert 2100"
"Agilent Technologies Software"	"GC-RMA Quantification"
"Agilent Technologies Software"	"GeneSpring"
"Alignment"	"Profile-profile alignment"
"Alignment"	"Protein alignment"
"Alignment"	"Protein threading"
"Alignment"	"Secondary structure alignment"
"Alignment"	"Sequence alignment"
"Alignment"	"Sequence alignment"
"Alignment"	"Sequence-profile alignment"
"Alignment"	"Sequence-structure alignment"
"Alignment"	"Sequence-to-3D-profile alignment"
"Alignment"	"Structural (3D) profile alignment"
"Alignment"	"Structure alignment"
"Alignment"	"Structure alignment"
"Alignment format"	"Alignment format (XML)"
"Alignment format"	"Alignment format (pair only)"
"Alignment format"	"Alignment format (text)"
"Alignment format"	"BioJSON (BioXSD)"
"Alignment format"	"BioJSON (Jalview)"
"Alignment format"	"BioYAML"
"Alignment format"	"RNAML"
"Alignment format (XML)"	"BioXSD (XML)"
"Alignment format (pair only)"	"BAM"
"Alignment format (pair only)"	"CRAM"
"Alignment format (pair only)"	"EBI Application Result XML"
"Alignment format (pair only)"	"LAV"
"Alignment format (pair only)"	"PSL"
"Alignment format (pair only)"	"Pileup"
"Alignment format (pair only)"	"SAM"
"Alignment format (pair only)"	"axt"
"Alignment format (pair only)"	"srspair"
"Alignment format (text)"	"A2M"
"Alignment format (text)"	"BLC"
"Alignment format (text)"	"ClustalW format"
"Alignment format (text)"	"DIALIGN format"
"Alignment format (text)"	"EMBOSS simple format"
"Alignment format (text)"	"FASTA"
"Alignment format (text)"	"FASTA format"
"Alignment format (text)"	"FASTA-aln"
"Alignment format (text)"	"GCG format variant"
"Alignment format (text)"	"HMMER-aln"
"Alignment format (text)"	"MAF"
"Alignment format (text)"	"PO"
"Alignment format (text)"	"Phylip format variant"
"Alignment format (text)"	"Stockholm format"
"Alignment format (text)"	"T-Coffee format"
"Alignment format (text)"	"TreeCon-seq"
"Alignment format (text)"	"csfasta"
"Alignment format (text)"	"daf"
"Alignment format (text)"	"debug"
"Alignment format (text)"	"markx0 variant"
"Alignment format (text)"	"match"
"Alignment format (text)"	"mega variant"
"Alignment format (text)"	"nexus-seq"
"Alignment format (text)"	"nexusnon"
"Alignment format (text)"	"pair"
"Alignment format (text)"	"scores format"
"Alignment format (text)"	"selex"
"Alignment format (text)"	"srs format"
"Alignment score or penalty"	"Drop off score"
"Alignment score or penalty"	"Gap penalty"
"Alignment score or penalty"	"Match reward score"
"Alignment score or penalty"	"Mismatch penalty score"
"Amino acid identifier"	"Amino acid name"
"Amino acid index"	"Amino acid index (White-Wimley data)"
"Amino acid index"	"Amino acid index (chemical classes)"
"Amino acid index"	"Amino acid index (hydropathy)"
"Amino acid index"	"Amino acid index (molecular weight)"
"Amino acid index"	"Amino acid index (van der Waals radii)"
"Amino acid index ID"	"AAindex ID"
"Amino acid index format"	"aaindex"
"Amino acid name"	"Amino acid name (full name)"
"Amino acid name"	"Amino acid name (single letter)"
"Amino acid name"	"Amino acid name (three letter)"
"Amino acid name (three letter)"	"PDB residue name"
"Amino acid property"	"Amino acid index"
"Amino acid property"	"Amino acid pair-wise contact potentials"
"Amino acid property"	"Comparison matrix (amino acid)"
"Analysis"	"Gene expression analysis"
"Analysis"	"Image analysis"
"Analysis"	"Nucleic acid analysis"
"Analysis"	"Over-representation analysis"
"Analysis"	"Pathway or network analysis"
"Analysis"	"Phylogenetic tree analysis"
"Analysis"	"Protein analysis"
"Analysis"	"Sequence analysis"
"Analysis"	"Spectral analysis"
"Analysis"	"Structure analysis"
"Analysis"	"Text annotation"
"Analysis"	"Text mining"
"Animals"	"Invertebrates"
"Animals"	"Vertebrates"
"Annotated text format"	"BioC"
"Annotated text format"	"BioNLP Shared Task format"
"Annotated text format"	"OSCAR format"
"Annotated text format"	"Open Annotation format"
"Annotated text format"	"PubAnnotation format"
"Annotated text format"	"PubTator format"
"Annotation"	"Image annotation"
"Annotation"	"Phylogenetic tree annotation"
"Annotation"	"Sequence annotation"
"Annotation"	"Sequence tag mapping"
"Annotation"	"Text annotation"
"ArrayVision"	"ArrayVision 6.0 (Imaging Research Inc.)"
"ArrayVision"	"Array_vision_(Interfocus)"
"Article ID"	"DOI"
"Article ID"	"Medline UI"
"Article ID"	"PubMed ID"
"Article comparison"	"Document clustering"
"Article comparison"	"Document similarity calculation"
"Article format"	"medline"
"Article format"	"pmc"
"Artistic License"	"Artistic License 1.0"
"Artistic License"	"Artistic License 2.0"
"Assembly"	"Sequence assembly"
"Atom ID"	"Atom name"
"Atom name"	"PDB atom name"
"Atomic coordinate"	"Atomic x coordinate"
"Atomic coordinate"	"Atomic y coordinate"
"Atomic coordinate"	"Atomic z coordinate"
"Atomic property"	"Atomic coordinate"
"Atomic property"	"Atomic occupancy"
"Atomic property"	"Isotropic B factor"
"Attribution clause"	"Attribution not required"@en
"Attribution clause"	"Attribution required"@en
"Author ID"	"DragonDB author identifier"
"BED"	"bedstrict"
"BED"	"chrominfo"
"BED format"	"bedstrict"
"BED format"	"chrominfo"
"BLAST"	"BLAST+ 2.2.26"@en
"BLAST"	"BLASTN"
"BLAST"	"PSI-BLAST"
"BLAST results"	"BLAST XML results format"
"Bayesian Model"	"dynamic Bayesian network model"@en
"Bibliographic reference format"	"CiteXplore-all"
"Bibliographic reference format"	"CiteXplore-core"
"Bibliographic reference format"	"Medline Display Format"
"Bibliographic reference format"	"PubMed citation"
"Binary format"	".nib"
"Binary format"	"2bit"
"Binary format"	"AB1"
"Binary format"	"ABI"
"Binary format"	"BAM"
"Binary format"	"BAR"@en
"Binary format"	"BCF"
"Binary format"	"BPMAP"
"Binary format"	"BTrack"
"Binary format"	"CDF binary format"
"Binary format"	"CEL binary format"
"Binary format"	"CHP binary format"
"Binary format"	"COMBINE OMEX"
"Binary format"	"CRAM"
"Binary format"	"DICOM format"
"Binary format"	"Data index format"
"Binary format"	"GIF"
"Binary format"	"IDAT"
"Binary format"	"Index format"
"Binary format"	"JPG"
"Binary format"	"K-mer countgraph"
"Binary format"	"OME-TIFF"
"Binary format"	"PDF"
"Binary format"	"PNG"
"Binary format"	"SCF"
"Binary format"	"SFF"
"Binary format"	"SQLite format"
"Binary format"	"SRA format"
"Binary format"	"SRF"
"Binary format"	"Thermo RAW"
"Binary format"	"VDB"
"Binary format"	"WIFF format"
"Binary format"	"X!Tandem XML"
"Binary format"	"ZTR"
"Binary format"	"bgzip"
"Binary format"	"bigBed"
"Binary format"	"bigWig"
"Binary format"	"bmp"
"Binary format"	"hdf5"
"Binary format"	"im"
"Binary format"	"imzML"
"Binary format"	"lma"
"Binary format"	"nii"
"Binary format"	"pbm"
"Binary format"	"pcd"
"Binary format"	"pcx"
"Binary format"	"pgm"
"Binary format"	"ppm"
"Binary format"	"psd"
"Binary format"	"rast"
"Binary format"	"rgb"
"Binary format"	"tabix"
"Binary format"	"tiff"
"Binary format"	"xbm"
"Binary format"	"xlsx"
"Binary format"	"xpm"
"BioConductor Software"	"'betr'"
"BioConductor Software"	"BAC"
"BioConductor Software"	"Category"
"BioConductor Software"	"GeneticsBase"
"BioConductor Software"	"GeneticsPed"
"BioConductor Software"	"RLMM"
"BioConductor Software"	"RMAGEML"
"BioConductor Software"	"ROC"
"BioConductor Software"	"RWebServices"
"BioConductor Software"	"RankProd"
"BioConductor Software"	"Rdbi"
"BioConductor Software"	"RdbiPgSQL"
"BioConductor Software"	"Rdisop"
"BioConductor Software"	"Rgraphviz"
"BioConductor Software"	"Ringo"
"BioConductor Software"	"Rintact"
"BioConductor Software"	"RpsiXML"
"BioConductor Software"	"Rredland"
"BioConductor Software"	"Rtreemix"
"BioConductor Software"	"Ruuid"
"BioConductor Software"	"SAGx"
"BioConductor Software"	"SBMLR"
"BioConductor Software"	"SLGI"
"BioConductor Software"	"SLqPCR"
"BioConductor Software"	"SMAP"
"BioConductor Software"	"SNPchip"
"BioConductor Software"	"SPIA"
"BioConductor Software"	"SSPA"
"BioConductor Software"	"ScISI"
"BioConductor Software"	"ShortRead"
"BioConductor Software"	"TargetSearch"
"BioConductor Software"	"TypeInfo"
"BioConductor Software"	"VanillaICE"
"BioConductor Software"	"XDE"
"BioConductor Software"	"affxparser"
"BioConductor Software"	"affy"
"BioConductor Software"	"affyContam"
"BioConductor Software"	"affyImGUI"
"BioConductor Software"	"affyPara"
"BioConductor Software"	"affyQCReport"
"BioConductor Software"	"affyTiling"
"BioConductor Software"	"affyio"
"BioConductor Software"	"affypdnn"
"BioConductor Software"	"altcdfenvs"
"BioConductor Software"	"annaffy"
