t,s,l
AnnotationProperty,http://aims.fao.org/aos/geopolitical.owl#sourceCreator,
AnnotationProperty,http://aims.fao.org/aos/geopolitical.owl#sourceIdentifier,
AnnotationProperty,http://aims.fao.org/aos/geopolitical.owl#sourceModified,
AnnotationProperty,http://purl.obolibrary.org/obo/ARG_0000033,
AnnotationProperty,http://purl.obolibrary.org/obo/BFO_0000179,
AnnotationProperty,http://purl.obolibrary.org/obo/BFO_0000180,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000111,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000112,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000114,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000115,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000116,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000117,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000118,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000119,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000231,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000232,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000412,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000600,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000601,
AnnotationProperty,http://purl.obolibrary.org/obo/IAO_0000602,
AnnotationProperty,http://purl.org/dc/terms/description,
AnnotationProperty,http://purl.org/dc/terms/source,
AnnotationProperty,http://purl.org/net/OCRe/statistics.owl#curator,
AnnotationProperty,http://purl.org/net/OCRe/study_protocol.owl#develop_comment,
AnnotationProperty,http://vitro.mannlib.cornell.edu/ns/vitro/0.7#descriptionAnnot,
AnnotationProperty,http://vitro.mannlib.cornell.edu/ns/vitro/0.7#exampleAnnot,
AnnotationProperty,http://vitro.mannlib.cornell.edu/ns/vitro/0.7#stubObjectPropertyAnnot,
AnnotationProperty,http://www.w3.org/2000/01/rdf-schema#comment,
AnnotationProperty,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,
AnnotationProperty,http://www.w3.org/2000/01/rdf-schema#label,
AnnotationProperty,http://www.w3.org/2002/07/owl#minCardinality,
AnnotationProperty,http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,
AnnotationProperty,http://www.w3.org/2004/02/skos/core#scopeNote,
AnnotationProperty,http://www.w3.org/2008/05/skos#editorialNote,
AnnotationProperty,http://www.w3.org/2008/05/skos#scopeNote,
Class,http://aims.fao.org/aos/geopolitical.owl#area,Area
Class,http://aims.fao.org/aos/geopolitical.owl#disputed,Disputed
Class,http://aims.fao.org/aos/geopolitical.owl#economic_region,Economic Region
Class,http://aims.fao.org/aos/geopolitical.owl#geographical_region,Transnational Region
Class,http://aims.fao.org/aos/geopolitical.owl#group,Group
Class,http://aims.fao.org/aos/geopolitical.owl#non_self_governing,Non Self Governing
Class,http://aims.fao.org/aos/geopolitical.owl#organization,Organization
Class,http://aims.fao.org/aos/geopolitical.owl#other,Other
Class,http://aims.fao.org/aos/geopolitical.owl#self_governing,Self Governing
Class,http://aims.fao.org/aos/geopolitical.owl#special_group,Special Group
Class,http://aims.fao.org/aos/geopolitical.owl#territory,Territory
Class,http://purl.obolibrary.org/obo/ARG_0000008,
Class,http://purl.obolibrary.org/obo/ARG_2000008,Topic Weight Measurement
Class,http://purl.obolibrary.org/obo/ARG_2000009,Expertise Measurement
Class,http://purl.obolibrary.org/obo/ARG_2000010,Topic Weight Measurement Process
Class,http://purl.obolibrary.org/obo/ARG_2000011,Expertise Measurement Process
Class,http://purl.obolibrary.org/obo/ARG_2000021,Experience
Class,http://purl.obolibrary.org/obo/ARG_2000022,specialty
Class,http://purl.obolibrary.org/obo/ARG_2000376,Contact Qualifier
Class,http://purl.obolibrary.org/obo/ARG_2000377,FOAF Profile
Class,http://purl.obolibrary.org/obo/ARG_2000379,Contact
Class,http://purl.obolibrary.org/obo/BFO_0000001,Entity
Class,http://purl.obolibrary.org/obo/BFO_0000002,Continuant
Class,http://purl.obolibrary.org/obo/BFO_0000003,Occurrent
Class,http://purl.obolibrary.org/obo/BFO_0000004,Independent Continuant
Class,http://purl.obolibrary.org/obo/BFO_0000006,Spatial Region
Class,http://purl.obolibrary.org/obo/BFO_0000008,Temporal Region
Class,http://purl.obolibrary.org/obo/BFO_0000015,Process
Class,http://purl.obolibrary.org/obo/BFO_0000016,Disposition
Class,http://purl.obolibrary.org/obo/BFO_0000017,Realizable Entity
Class,http://purl.obolibrary.org/obo/BFO_0000019,Quality
Class,http://purl.obolibrary.org/obo/BFO_0000020,Specifically Dependent Continuant
Class,http://purl.obolibrary.org/obo/BFO_0000023,Role
Class,http://purl.obolibrary.org/obo/BFO_0000029,Site
Class,http://purl.obolibrary.org/obo/BFO_0000031,Generically Dependent Continuant
Class,http://purl.obolibrary.org/obo/BFO_0000034,Function
Class,http://purl.obolibrary.org/obo/BFO_0000038,One-Dimensional Temporal Region
Class,http://purl.obolibrary.org/obo/BFO_0000040,Material Entity
Class,http://purl.obolibrary.org/obo/BFO_0000141,Immaterial Entity
Class,http://purl.obolibrary.org/obo/BFO_0000148,Zero-Dimensional Temporal Region
Class,http://purl.obolibrary.org/obo/ERO_0000004,Instrument
Class,http://purl.obolibrary.org/obo/ERO_0000005,Service
Class,http://purl.obolibrary.org/obo/ERO_0000006,Reagent
Class,http://purl.obolibrary.org/obo/ERO_0000007,Technique
Class,http://purl.obolibrary.org/obo/ERO_0000012,Service Provider Role
Class,http://purl.obolibrary.org/obo/ERO_0000014,Research Project
Class,http://purl.obolibrary.org/obo/ERO_0000015,Human Study
Class,http://purl.obolibrary.org/obo/ERO_0000016,Clinical Trial
Class,http://purl.obolibrary.org/obo/ERO_0000020,Biological Specimen
Class,http://purl.obolibrary.org/obo/ERO_0000071,Software
Class,http://purl.obolibrary.org/obo/ERO_0000224,Funding Role
Class,http://purl.obolibrary.org/obo/ERO_0000225,Educator Role
Class,http://purl.obolibrary.org/obo/ERO_0000391,Access Service
Class,http://purl.obolibrary.org/obo/ERO_0000392,Storage Service
Class,http://purl.obolibrary.org/obo/ERO_0000393,Training Service
Class,http://purl.obolibrary.org/obo/ERO_0000394,Material Processing Service
Class,http://purl.obolibrary.org/obo/ERO_0000395,Material Analysis Service
Class,http://purl.obolibrary.org/obo/ERO_0000396,Material Production Service
Class,http://purl.obolibrary.org/obo/ERO_0000565,Technology Transfer Office
Class,http://purl.obolibrary.org/obo/ERO_0000595,Research Opportunity
Class,http://purl.obolibrary.org/obo/ERO_0000776,US Resident Role
Class,http://purl.obolibrary.org/obo/ERO_0000777,US Citizen Role
Class,http://purl.obolibrary.org/obo/ERO_0000778,Non-US Citizen
Class,http://purl.obolibrary.org/obo/ERO_0000779,Permanent Resident Role
Class,http://purl.obolibrary.org/obo/ERO_0000780,Non-Permanent Resident Role
Class,http://purl.obolibrary.org/obo/ERO_0000783,Student Role
Class,http://purl.obolibrary.org/obo/ERO_0000784,Undergraduate Student Role
Class,http://purl.obolibrary.org/obo/ERO_0000785,Graduate Student Role
Class,http://purl.obolibrary.org/obo/ERO_0000786,High School Student Role
Class,http://purl.obolibrary.org/obo/ERO_0000787,Employee Role
Class,http://purl.obolibrary.org/obo/ERO_0000788,Faculty Role
Class,http://purl.obolibrary.org/obo/ERO_0000789,Staff Role
Class,http://purl.obolibrary.org/obo/ERO_0000790,Post-Baccalaureate Trainee
Class,http://purl.obolibrary.org/obo/ERO_0000914,Post-Graduate Student Trainee Role
Class,http://purl.obolibrary.org/obo/ERO_0001245,Licensing
Class,http://purl.obolibrary.org/obo/ERO_0001254,Transport Service
Class,http://purl.obolibrary.org/obo/ERO_0001255,Support Service
Class,http://purl.obolibrary.org/obo/ERO_0001256,Material Storage Service
Class,http://purl.obolibrary.org/obo/ERO_0001257,Data Storage Service
Class,http://purl.obolibrary.org/obo/ERO_0001258,Maintenance Service
Class,http://purl.obolibrary.org/obo/ERO_0001259,Material Maintenance Service
Class,http://purl.obolibrary.org/obo/ERO_0001260,Data Maintenance Service
Class,http://purl.obolibrary.org/obo/ERO_0001261,Analysis Service
Class,http://purl.obolibrary.org/obo/ERO_0001262,Data Analysis Service
Class,http://purl.obolibrary.org/obo/ERO_0001263,Material Modification Service
Class,http://purl.obolibrary.org/obo/ERO_0001716,Database
Class,http://purl.obolibrary.org/obo/IAO_0000003,Measurement Unit Label
Class,http://purl.obolibrary.org/obo/IAO_0000005,Objective Specification
Class,http://purl.obolibrary.org/obo/IAO_0000007,Action Specification
Class,http://purl.obolibrary.org/obo/IAO_0000009,Datum Label
Class,http://purl.obolibrary.org/obo/IAO_0000013,Journal Article
Class,http://purl.obolibrary.org/obo/IAO_0000027,Data Item
Class,http://purl.obolibrary.org/obo/IAO_0000030,Information Content Entity
Class,http://purl.obolibrary.org/obo/IAO_0000032,Scalar Measurement Datum
Class,http://purl.obolibrary.org/obo/IAO_0000033,Directive Information Entity
Class,http://purl.obolibrary.org/obo/IAO_0000102,Data about an Ontology Part
Class,http://purl.obolibrary.org/obo/IAO_0000104,Plan Specification
Class,http://purl.obolibrary.org/obo/IAO_0000109,Measurement Datum
Class,http://purl.obolibrary.org/obo/IAO_0000144,Conclusion Textual Entity
Class,http://purl.obolibrary.org/obo/IAO_0000300,Textual Entity
Class,http://purl.obolibrary.org/obo/OBI_0000011,Planned Process
Class,http://purl.obolibrary.org/obo/OBI_0000017,Regulatory Role
Class,http://purl.obolibrary.org/obo/OBI_0000066,
Class,http://purl.obolibrary.org/obo/OBI_0000086,
Class,http://purl.obolibrary.org/obo/OBI_0000094,
Class,http://purl.obolibrary.org/obo/OBI_0000272,Protocol
Class,http://purl.obolibrary.org/obo/OBI_0000571,
Class,http://purl.obolibrary.org/obo/OBI_0000835,Manufacturer
Class,http://purl.obolibrary.org/obo/OBI_0001554,Rate Measurement Datum
Class,http://purl.obolibrary.org/obo/OBI_0100026,Organism
Class,http://purl.obolibrary.org/obo/OBI_0500000,Study Design
Class,http://purl.obolibrary.org/obo/UO_0000280,Rate Unit
Class,http://purl.org/NET/c4dm/event.owl#Event,Event
Class,http://purl.org/net/OCRe/research.owl#Interventional_study,
Class,http://purl.org/net/OCRe/study_design.owl#OCRE100038,Phase
Class,http://purl.org/net/OCRe/study_design.owl#Phase_0,Phase 0
Class,http://purl.org/net/OCRe/study_design.owl#Phase_1,Phase 1
Class,http://purl.org/net/OCRe/study_design.owl#Phase_2,Phase 2
Class,http://purl.org/net/OCRe/study_design.owl#Phase_3,Phase 3
Class,http://purl.org/net/OCRe/study_design.owl#Phase_4,Phase 4
Class,http://purl.org/net/OCRe/study_design.owl#Single_group_study,Single Group Study
Class,http://purl.org/ontology/bibo/AcademicArticle,Academic Article
Class,http://purl.org/ontology/bibo/Article,Article
Class,http://purl.org/ontology/bibo/AudioDocument,Audio Document
Class,http://purl.org/ontology/bibo/AudioVisualDocument,Audio-Visual Document
Class,http://purl.org/ontology/bibo/Bill,Bill
Class,http://purl.org/ontology/bibo/Book,Book
Class,http://purl.org/ontology/bibo/BookSection,Book Section
Class,http://purl.org/ontology/bibo/Brief,Brief
Class,http://purl.org/ontology/bibo/Chapter,Chapter
Class,http://purl.org/ontology/bibo/Code,Code
Class,http://purl.org/ontology/bibo/CollectedDocument,Collected Document
Class,http://purl.org/ontology/bibo/Collection,Collection
Class,http://purl.org/ontology/bibo/Conference,Conference
Class,http://purl.org/ontology/bibo/CourtReporter,Court Reporter
Class,http://purl.org/ontology/bibo/Document,Document
Class,http://purl.org/ontology/bibo/DocumentPart,Document Part
Class,http://purl.org/ontology/bibo/DocumentStatus,Document Status
Class,http://purl.org/ontology/bibo/EditedBook,Edited Book
Class,http://purl.org/ontology/bibo/Excerpt,Excerpt
Class,http://purl.org/ontology/bibo/Film,Film
Class,http://purl.org/ontology/bibo/Hearing,Hearing
Class,http://purl.org/ontology/bibo/Image,Image
Class,http://purl.org/ontology/bibo/Interview,Interview
Class,http://purl.org/ontology/bibo/Issue,Issue
Class,http://purl.org/ontology/bibo/Journal,Journal
Class,http://purl.org/ontology/bibo/LegalCaseDocument,Legal Case Document
Class,http://purl.org/ontology/bibo/LegalDecision,Decision
Class,http://purl.org/ontology/bibo/LegalDocument,Legal Document
Class,http://purl.org/ontology/bibo/Legislation,Legislation
Class,http://purl.org/ontology/bibo/Letter,Letter
Class,http://purl.org/ontology/bibo/Magazine,Magazine
Class,http://purl.org/ontology/bibo/Manual,Manual
Class,http://purl.org/ontology/bibo/Manuscript,manuscript
Class,http://purl.org/ontology/bibo/Map,Map
Class,http://purl.org/ontology/bibo/Newspaper,Newspaper
Class,http://purl.org/ontology/bibo/Note,Note
Class,http://purl.org/ontology/bibo/Patent,Patent
Class,http://purl.org/ontology/bibo/Performance,Performance
Class,http://purl.org/ontology/bibo/Periodical,Periodical
Class,http://purl.org/ontology/bibo/PersonalCommunicationDocument,Personal Communication Document
Class,http://purl.org/ontology/bibo/Proceedings,Proceedings
Class,http://purl.org/ontology/bibo/Quote,Quote
Class,http://purl.org/ontology/bibo/ReferenceSource,Reference Source
Class,http://purl.org/ontology/bibo/Report,Report
Class,http://purl.org/ontology/bibo/Series,Series
Class,http://purl.org/ontology/bibo/Slide,Slide
Class,http://purl.org/ontology/bibo/Slideshow,Slideshow
Class,http://purl.org/ontology/bibo/Standard,Standard
Class,http://purl.org/ontology/bibo/Statute,Statute
Class,http://purl.org/ontology/bibo/Thesis,Thesis
Class,http://purl.org/ontology/bibo/ThesisDegree,Thesis Degree
Class,http://purl.org/ontology/bibo/Webpage,Webpage
Class,http://purl.org/ontology/bibo/Website,Website
Class,http://purl.org/ontology/bibo/Workshop,Workshop
Class,http://purl.org/spar/c4o/BibliographicInformationSource,Bibliographic Information Source
Class,http://purl.org/spar/c4o/GlobalCitationCount,Global Citation Count
Class,http://purl.org/spar/fabio/ClinicalGuideline,Clinical Guideline
Class,http://purl.org/spar/fabio/Comment,Comment
Class,http://purl.org/spar/fabio/Erratum,Erratum
Class,http://vivoweb.org/ontology/core#Abstract,Abstract
Class,http://vivoweb.org/ontology/core#AcademicDegree,Academic Degree
Class,http://vivoweb.org/ontology/core#AcademicDepartment,Academic Department
Class,http://vivoweb.org/ontology/core#AcademicTerm,Academic Term
Class,http://vivoweb.org/ontology/core#AcademicYear,Academic Year
Class,http://vivoweb.org/ontology/core#AdministratorRole,Administrator Role
Class,http://vivoweb.org/ontology/core#AdviseeRole,Advisee Role
Class,http://vivoweb.org/ontology/core#AdvisingProcess,Advising Process
Class,http://vivoweb.org/ontology/core#AdvisingRelationship,Advising Relationship
Class,http://vivoweb.org/ontology/core#AdvisorRole,Advisor Role
Class,http://vivoweb.org/ontology/core#Association,Association
Class,http://vivoweb.org/ontology/core#AttendeeRole,Attendee Role
Class,http://vivoweb.org/ontology/core#AttendingProcess,Attending Process
Class,http://vivoweb.org/ontology/core#Authorship,Authorship
Class,http://vivoweb.org/ontology/core#Award,Award or Honor
Class,http://vivoweb.org/ontology/core#AwardReceipt,Award or Honor Receipt
Class,http://vivoweb.org/ontology/core#AwardedDegree,Awarded Degree
Class,http://vivoweb.org/ontology/core#Blog,Blog
Class,http://vivoweb.org/ontology/core#BlogPosting,Blog Posting
Class,http://vivoweb.org/ontology/core#Building,Building
Class,http://vivoweb.org/ontology/core#Campus,Campus
Class,http://vivoweb.org/ontology/core#CaseStudy,Case Study
Class,http://vivoweb.org/ontology/core#Catalog,Catalog
Class,http://vivoweb.org/ontology/core#Center,Center
Class,http://vivoweb.org/ontology/core#Certificate,Certificate
Class,http://vivoweb.org/ontology/core#Certification,Certification
Class,http://vivoweb.org/ontology/core#ClinicalOrganization,Clinical Organization
Class,http://vivoweb.org/ontology/core#ClinicalRole,Clinical Role
Class,http://vivoweb.org/ontology/core#CoPrincipalInvestigatorRole,Co-Principal Investigator Role
Class,http://vivoweb.org/ontology/core#College,College
Class,http://vivoweb.org/ontology/core#Committee,Committee
Class,http://vivoweb.org/ontology/core#Company,Company
Class,http://vivoweb.org/ontology/core#Competition,Competition
Class,http://vivoweb.org/ontology/core#ConferencePaper,Conference Paper
Class,http://vivoweb.org/ontology/core#ConferencePoster,Conference Poster
Class,http://vivoweb.org/ontology/core#ConferenceSeries,Conference Series
Class,http://vivoweb.org/ontology/core#Consortium,Consortium
Class,http://vivoweb.org/ontology/core#Continent,Continent
Class,http://vivoweb.org/ontology/core#Contract,Contract
Class,http://vivoweb.org/ontology/core#CoreLaboratory,Core Laboratory
Class,http://vivoweb.org/ontology/core#Country,Country
Class,http://vivoweb.org/ontology/core#County,County
Class,http://vivoweb.org/ontology/core#Course,Course
Class,http://vivoweb.org/ontology/core#Credential,Credential
Class,http://vivoweb.org/ontology/core#Database,Database
Class,http://vivoweb.org/ontology/core#Dataset,Dataset
Class,http://vivoweb.org/ontology/core#DateTimeInterval,Date/Time Interval
Class,http://vivoweb.org/ontology/core#DateTimeValue,Date/Time Value
Class,http://vivoweb.org/ontology/core#DateTimeValuePrecision,Date/Time Value Precision
Class,http://vivoweb.org/ontology/core#Department,Department
Class,http://vivoweb.org/ontology/core#Division,Division
Class,http://vivoweb.org/ontology/core#EditorRole,Editor Role
Class,http://vivoweb.org/ontology/core#EditorialArticle,Editorial Article
Class,http://vivoweb.org/ontology/core#Editorship,Editorship
Class,http://vivoweb.org/ontology/core#EducationalProcess,Educational Process
Class,http://vivoweb.org/ontology/core#EmeritusFaculty,Faculty Member Emeritus
Class,http://vivoweb.org/ontology/core#EmeritusLibrarian,Librarian Emeritus
Class,http://vivoweb.org/ontology/core#EmeritusProfessor,Professor Emeritus
Class,http://vivoweb.org/ontology/core#Equipment,Equipment
Class,http://vivoweb.org/ontology/core#EventSeries,Event Series
